id,name,description,accessCode,startsOn,endsOn,state_status,state_comments,type,theme,visibility,category,benefit,organizationId,submittedByOrganizationId,submittedBy_communityMemberId,submittedBy_accountId,submittedBy_username,submittedBy_campusEmail,originalSubmissionId,sourceSubmissionId,address_name,address_line1,address_line2,address_city,address_state,address_zip,address_address,address_latitude,address_longitude,address_locationId,address_onlineLocation,address_instructions,rsvp_isInviteOnly,rsvp_totalAllowed,rsvp_spotsAvailable,rsvp_totalRsvps,rsvp_totalGuests,rsvp_shouldAllowGuests,rsvp_totalGuestsAllowedPerRsvp,rsvp_shouldGuestsCountTowardsTotalAllowed,rsvp_shouldShowRemainingRsvps,rsvp_organizationRepresentationEnabled,rsvp_organizationRepresentationRequired,rsvp_questions,imagePath,imageUrl,extraction_timestamp,source_system,load_type
11350298,Seawolves Soak City,"Join Student Engagement and Activities' Seawolves Soak City on Friday 8/29 at Staller Steps from 4-7 PM with numerous clubs! Come by and enjoy water slides, obstacle courses, water guns, balloon fights, smoothies, & much more! This event is open to all SBU students and guests and is free of charge! This event is open to all students. Come prepared with sunscreen, change of clothing, etc. Save time & fill out the waiver now! Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.   For accessibility needs please contact sea_programsandtraditions@stonybrook.edu ***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",A5R397A,2025-08-29T16:00:00.000Z,2025-08-29T19:00:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),FreeFood,90957,90957,44331327,7dd7e058-38dc-442f-af98-1bacb8d88128,lmjusino@stonybrook.edu,Leanni.Jusino@stonybrook.edu,7d834fcf-02ea-4c3b-ad84-08c0893553ee,11251898-5a5b-4ed8-924b-485d58b45ae9,Staller Steps,,,,,,,,,,,,false,,,143,0,false,,false,false,false,false,"{""formSchema"":{""type"":""object"",""properties"":{""v5OESgzskc"":{""type"":""string"",""enum"":[""I understand""],""title"":""RSVPing for this event does not guarantee me a spot. This feature simply reminds me that the event is happening.""}},""required"":[""v5OESgzskc""]},""uiSchema"":{""ui:order"":[""v5OESgzskc""],""v5OESgzskc"":{""ui:widget"":""radio""}}}",762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,https://se-images.campuslabs.com/clink/images/762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11350298,Seawolves Soak City,"Join Student Engagement and Activities' Seawolves Soak City on Friday 8/29 at Staller Steps from 4-7 PM with numerous clubs! Come by and enjoy water slides, obstacle courses, water guns, balloon fights, smoothies, & much more! This event is open to all SBU students and guests and is free of charge! This event is open to all students. Come prepared with sunscreen, change of clothing, etc. Save time & fill out the waiver now! Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.   For accessibility needs please contact sea_programsandtraditions@stonybrook.edu ***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",A5R397A,2025-08-29T16:00:00.000Z,2025-08-29T19:00:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),FreeFood,66513,90957,44331327,7dd7e058-38dc-442f-af98-1bacb8d88128,lmjusino@stonybrook.edu,Leanni.Jusino@stonybrook.edu,7d834fcf-02ea-4c3b-ad84-08c0893553ee,11251898-5a5b-4ed8-924b-485d58b45ae9,Staller Steps,,,,,,,,,,,,false,,,143,0,false,,false,false,false,false,"{""formSchema"":{""type"":""object"",""properties"":{""v5OESgzskc"":{""type"":""string"",""enum"":[""I understand""],""title"":""RSVPing for this event does not guarantee me a spot. This feature simply reminds me that the event is happening.""}},""required"":[""v5OESgzskc""]},""uiSchema"":{""ui:order"":[""v5OESgzskc""],""v5OESgzskc"":{""ui:widget"":""radio""}}}",762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,https://se-images.campuslabs.com/clink/images/762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11350298,Seawolves Soak City,"Join Student Engagement and Activities' Seawolves Soak City on Friday 8/29 at Staller Steps from 4-7 PM with numerous clubs! Come by and enjoy water slides, obstacle courses, water guns, balloon fights, smoothies, & much more! This event is open to all SBU students and guests and is free of charge! This event is open to all students. Come prepared with sunscreen, change of clothing, etc. Save time & fill out the waiver now! Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.   For accessibility needs please contact sea_programsandtraditions@stonybrook.edu ***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",A5R397A,2025-08-29T16:00:00.000Z,2025-08-29T19:00:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),FreeFood,68905,90957,44331327,7dd7e058-38dc-442f-af98-1bacb8d88128,lmjusino@stonybrook.edu,Leanni.Jusino@stonybrook.edu,7d834fcf-02ea-4c3b-ad84-08c0893553ee,11251898-5a5b-4ed8-924b-485d58b45ae9,Staller Steps,,,,,,,,,,,,false,,,143,0,false,,false,false,false,false,"{""formSchema"":{""type"":""object"",""properties"":{""v5OESgzskc"":{""type"":""string"",""enum"":[""I understand""],""title"":""RSVPing for this event does not guarantee me a spot. This feature simply reminds me that the event is happening.""}},""required"":[""v5OESgzskc""]},""uiSchema"":{""ui:order"":[""v5OESgzskc""],""v5OESgzskc"":{""ui:widget"":""radio""}}}",762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,https://se-images.campuslabs.com/clink/images/762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11350298,Seawolves Soak City,"Join Student Engagement and Activities' Seawolves Soak City on Friday 8/29 at Staller Steps from 4-7 PM with numerous clubs! Come by and enjoy water slides, obstacle courses, water guns, balloon fights, smoothies, & much more! This event is open to all SBU students and guests and is free of charge! This event is open to all students. Come prepared with sunscreen, change of clothing, etc. Save time & fill out the waiver now! Day of the Event: Upon arriving at the event, staff will ask you for your event pass to scan. This can be found in the CORQ app under the drop-down tab once you sign-in to CORQ using your Stony Brook NetID. This is a contactless check-in system.   For accessibility needs please contact sea_programsandtraditions@stonybrook.edu ***RSVPing does not guarantee admittance if the event is full, it just reminds you of the event***",A5R397A,2025-08-29T16:00:00.000Z,2025-08-29T19:00:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),FreeFood,384133,90957,44331327,7dd7e058-38dc-442f-af98-1bacb8d88128,lmjusino@stonybrook.edu,Leanni.Jusino@stonybrook.edu,7d834fcf-02ea-4c3b-ad84-08c0893553ee,11251898-5a5b-4ed8-924b-485d58b45ae9,Staller Steps,,,,,,,,,,,,false,,,143,0,false,,false,false,false,false,"{""formSchema"":{""type"":""object"",""properties"":{""v5OESgzskc"":{""type"":""string"",""enum"":[""I understand""],""title"":""RSVPing for this event does not guarantee me a spot. This feature simply reminds me that the event is happening.""}},""required"":[""v5OESgzskc""]},""uiSchema"":{""ui:order"":[""v5OESgzskc""],""v5OESgzskc"":{""ui:widget"":""radio""}}}",762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,https://se-images.campuslabs.com/clink/images/762fd7b6-e5ce-48d9-b383-21292fb716395ebeeb54-888c-4e8f-b40d-5fd98a1696b7.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11387466,Commuter Connection: Welcome Back BBQ Bash!,"Join us at The Pit Stop Commuter Lounge for a welcome back BBQ bash! grab a dog or burger (or vegan alternative), enter the Wolfie squishmallow raffle, make friendship bracelets, grab some giveaways! We're so excited to have you back on campus",YANG9QP,2025-09-10T13:00:00.000Z,2025-09-10T14:30:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),FreeFood,102273,102273,16000411,0913befd-4b9a-4ed3-ada1-0860825ddc35,vhughes@stonybrook.edu,Victoria.Hughes@stonybrook.edu,7733fce1-8894-41af-b04b-93fb2459688e,7733fce1-8894-41af-b04b-93fb2459688e,Pit Stop Commuter Lounge,,,,,,,,,,,,false,,,156,0,false,,false,false,false,false,,da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,https://se-images.campuslabs.com/clink/images/da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11387466,Commuter Connection: Welcome Back BBQ Bash!,"Join us at The Pit Stop Commuter Lounge for a welcome back BBQ bash! grab a dog or burger (or vegan alternative), enter the Wolfie squishmallow raffle, make friendship bracelets, grab some giveaways! We're so excited to have you back on campus",YANG9QP,2025-09-10T13:00:00.000Z,2025-09-10T14:30:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),Merchandise,102273,102273,16000411,0913befd-4b9a-4ed3-ada1-0860825ddc35,vhughes@stonybrook.edu,Victoria.Hughes@stonybrook.edu,7733fce1-8894-41af-b04b-93fb2459688e,7733fce1-8894-41af-b04b-93fb2459688e,Pit Stop Commuter Lounge,,,,,,,,,,,,false,,,156,0,false,,false,false,false,false,,da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,https://se-images.campuslabs.com/clink/images/da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11387466,Commuter Connection: Welcome Back BBQ Bash!,"Join us at The Pit Stop Commuter Lounge for a welcome back BBQ bash! grab a dog or burger (or vegan alternative), enter the Wolfie squishmallow raffle, make friendship bracelets, grab some giveaways! We're so excited to have you back on campus",YANG9QP,2025-09-10T13:00:00.000Z,2025-09-10T14:30:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),FreeFood,302822,102273,16000411,0913befd-4b9a-4ed3-ada1-0860825ddc35,vhughes@stonybrook.edu,Victoria.Hughes@stonybrook.edu,7733fce1-8894-41af-b04b-93fb2459688e,7733fce1-8894-41af-b04b-93fb2459688e,Pit Stop Commuter Lounge,,,,,,,,,,,,false,,,156,0,false,,false,false,false,false,,da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,https://se-images.campuslabs.com/clink/images/da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11387466,Commuter Connection: Welcome Back BBQ Bash!,"Join us at The Pit Stop Commuter Lounge for a welcome back BBQ bash! grab a dog or burger (or vegan alternative), enter the Wolfie squishmallow raffle, make friendship bracelets, grab some giveaways! We're so excited to have you back on campus",YANG9QP,2025-09-10T13:00:00.000Z,2025-09-10T14:30:00.000Z,Approved,,Event,Social,Public,SBU Weeks of Welcome (WOW),Merchandise,302822,102273,16000411,0913befd-4b9a-4ed3-ada1-0860825ddc35,vhughes@stonybrook.edu,Victoria.Hughes@stonybrook.edu,7733fce1-8894-41af-b04b-93fb2459688e,7733fce1-8894-41af-b04b-93fb2459688e,Pit Stop Commuter Lounge,,,,,,,,,,,,false,,,156,0,false,,false,false,false,false,,da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,https://se-images.campuslabs.com/clink/images/da289ed0-005e-4192-97e9-ed75fae5a5c9824994f1-7a5c-45b5-9fb8-f377dc637b41.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11389314,Spooky Brook 2025,"WELCOME TO YOUR NIGHT SHIFT AT SPOOKY BROOK  The cameras flicker. The power's low. You've clocked in for one night: October 25, 7-11 PM and your goal is simple: survive the Spooky Brook shift. Hosted by USG's Student Activities Board (SAB) in collaboration with Student Engagement and Activities (SEA), this Halloween takeover transforms the Student Activities Center (SAC) into a spooky area.  ACTIVITIES INCLUDE: Magic & Illusion Show Costume Contest- Sign up here! Bingo Escape Room Caricature Artists Club Tabling Bar & Chill Zone Stuff-A-Plush-sold out Trick-or-Treat Station- sold out Five Nights at Freddy's Watch Party  Funded by your Student Activity Fee For any strange occurrences, contact  usg_studentlife@stonybrook.edu  1-800-USGXSEA - ODD NOTES OUT. They say the last guard heard whispers in the vents. Click here to see all activities happening day of! You were warned about the odd notes.",A5RMN5P,2025-10-25T19:00:00.000Z,2025-10-25T23:00:00.000Z,Approved,,Event,Social,Public,Arts & Crafts,FreeFood,72881,72881,32518018,577c226b-eda7-4cad-8839-a4b200a0220d,rseifter@stonybrook.edu,Rebecca.Reatherford@stonybrook.edu,e293d750-cee1-40c4-b7cc-0b312d0beb2a,16653441-ec7b-4e28-bb45-28df194654b1,Student Activities Center,,,,,,,,,,,,false,,,418,0,false,,false,false,false,false,,5275ab09-1fde-4bcc-b7cf-20e54bda0a5a855f6108-6db6-466c-b127-82a14d8b1624.png,https://se-images.campuslabs.com/clink/images/5275ab09-1fde-4bcc-b7cf-20e54bda0a5a855f6108-6db6-466c-b127-82a14d8b1624.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
11389314,Spooky Brook 2025,"WELCOME TO YOUR NIGHT SHIFT AT SPOOKY BROOK  The cameras flicker. The power's low. You've clocked in for one night: October 25, 7-11 PM and your goal is simple: survive the Spooky Brook shift. Hosted by USG's Student Activities Board (SAB) in collaboration with Student Engagement and Activities (SEA), this Halloween takeover transforms the Student Activities Center (SAC) into a spooky area.  ACTIVITIES INCLUDE: Magic & Illusion Show Costume Contest- Sign up here! Bingo Escape Room Caricature Artists Club Tabling Bar & Chill Zone Stuff-A-Plush-sold out Trick-or-Treat Station- sold out Five Nights at Freddy's Watch Party  Funded by your Student Activity Fee For any strange occurrences, contact  usg_studentlife@stonybrook.edu  1-800-USGXSEA - ODD NOTES OUT. They say the last guard heard whispers in the vents. Click here to see all activities happening day of! You were warned about the odd notes.",A5RMN5P,2025-10-25T19:00:00.000Z,2025-10-25T23:00:00.000Z,Approved,,Event,Social,Public,Arts & Crafts,Merchandise,72881,72881,32518018,577c226b-eda7-4cad-8839-a4b200a0220d,rseifter@stonybrook.edu,Rebecca.Reatherford@stonybrook.edu,e293d750-cee1-40c4-b7cc-0b312d0beb2a,16653441-ec7b-4e28-bb45-28df194654b1,Student Activities Center,,,,,,,,,,,,false,,,418,0,false,,false,false,false,false,,5275ab09-1fde-4bcc-b7cf-20e54bda0a5a855f6108-6db6-466c-b127-82a14d8b1624.png,https://se-images.campuslabs.com/clink/images/5275ab09-1fde-4bcc-b7cf-20e54bda0a5a855f6108-6db6-466c-b127-82a14d8b1624.png,2026-03-11T05:08:19.827Z,engage_api_v3,incremental
